"EnterpriseName","State","District","Pincode","RegistrationDate","CommunicationAddress","NIC5DigitCode","NICDescription"
"M/S NITMID ELECTRONICS PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560027.0","04/12/2020","No.19, M/S NITMID ELECTRONICS PRIVATE LIMITED, S.G.N Layout, No.19, 1st Cross, Bengaluru","26109","Manufacture of other electronic components n.e.c"
"Kudal Industries","KARNATAKA","BENGALURU (RURAL)","562106.0","06/08/2021","15/1B, 1ST PHASE, Kudal Industries, ANEKAL, 15/1B, 1ST PHASE, ANEKAL, Bangalore","22203","Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc)"
"MD YASEEN TAILORING WORK","KARNATAKA","VIJAYAPURA","586101.0","19/02/2021","HOUSE NO 73-10, SHAKTI NAGAR, BIJAPUR, HOUSE NO 73-10, BIJAPUR, BIJAPUR","14105","Custom tailoring"
"Jewellary Goldsmith Works","KARNATAKA","VIJAYAPURA","586101.0","19/02/2021","05, Muttina Complex, Azad Road, 05, Vijayapur, Vijayapur","32111","Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials"
"M/S PATIL AND ASHOK MASALA PRODUCTS","KARNATAKA","DHARWAD","580030.0","19/02/2021","M-13, RD CROSS, INDUSTRIAL ESTATE, GIKUL ROAD, M-13, RD CROSS, INDUSTRIAL ESTATE, HUBLI","10795","Grinding and processing of spices"
"HANIA TAILORING","KARNATAKA","BELAGAVI","590001.0","26/11/2020","H NO 4718, KAKAR GALLI, KAKAR GALLI, H NO 4718, H NO 4718, BELGAUM","14105","Custom tailoring"
"M/S NEXSYS CONTROLS PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560059.0","26/11/2020","#123, Nexsys, #123, 7th Main, #123, 3rd Block Jnanabharathi Layout, Bangalore","27339","Manufacture of other wiring devices and fittings n.e.c."
"SR SOURCING INTERNATIONAL","KARNATAKA","BENGALURU (URBAN)","560084.0","25/08/2020","19-20, Opp Siddhartha PU College, Old Post Office Road, 19-20, 7th Cross, Bangalore","10309","Preservation of fruit and vegetables n.e.c."
"SANGAMESHWARA GRINDING MECHINE","KARNATAKA","DAVANGERE","577528.0","27/04/2022","RAMALAYA ROAD, JAGALU8R, JAGALUR, RAMALAYA ROAD, JAGALUR, JAGALUR","10618","Manufacture of other readymade mixed powders like idli, gulabjamun etc."
"C.ASHOKA Jewellery Works","KARNATAKA","BENGALURU (URBAN)","560053.0","27/04/2022","No.6, Nandagokula Nivasa, R T Street, No.6, 2nd Cross, Bangalore","32111","Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials"
"ANANYA FOOD","KARNATAKA","DAKSHIN KANNAD","574231.0","02/07/2022","5-166, ELABE, PANEMANGALORE, 5-166, BANTWAL, BANTWAL","10719","Manufacture of other bakery products n.e.c."
"NATIONAL FIRE WORKS","KARNATAKA","BIDAR","585401.0","02/07/2022","OSMAN GUNJ, BIIDAR, BIDAR, OSMAN GUNJ, BIDAR, BIDAR","20292","Manufacture of explosives, ammunition and fire works"
"Ashwini Traders","KARNATAKA","GADAG","582118","23/04/2021","Flat no 18, 19, Industrial area, Bellahatti road, Flat no 18, 19, Mundargi, Gadag","32909","Manufacture of other articles n.e.c."
"M/S ADVANCED CRUSHING ENGINEERS PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560074.0","28/01/2021","No.29/B, PHASE 1, Kumbalgodu, No.29/B, Industrial area, Bengaluru","28246","Manufacture of parts and accessories for machinery/equipment used by construction and mining industries"
"J M CORPORATE","KARNATAKA","BENGALURU (URBAN)","560008.0","22/09/2021","No.147, Ground Floor, 2G No. 8th Street, 8th Main, No.147, Jogupalya, BANGALORE","17019","Manufacture of other primary paper materials including composite paper and paper board n.e.c."
"M/S STACKEX PRIVATE LIMITED","KARNATAKA","DAKSHIN KANNAD","574218.0","22/09/2021","I-1332A, NIVEDITHA COMPLEX, GUTHIGAR ROAD, I-1332A, GUTHIGAR, SULLIA","27501","Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc."
"POONAM ENTERPRISES","KARNATAKA","DHARWAD","580001.0","25/01/2021","Bhovi galli, Dharwad, Bhovi galli, Bhovi galli, Bhovi galli, Dharwad","24109","Manufacture of other basic iron and steel n.e.c"
"SRICHARAN ENGINEERING WORKS","KARNATAKA","BENGALURU (URBAN)","560023","17/04/2021","NO 81, AEROPLANE MANSION, MAGADI ROAD, NO 81, 1, BANGALORE","32909","Manufacture of other articles n.e.c."
"PRIYADARSHINI ENTERPRISES","KARNATAKA","MYSURU","571124","17/04/2021","84/63, PRIYADARSHINI ENTERPRISES, Government school road, 84/63, benakanahalli, Mysuru(Mysore)","10719","Manufacture of other bakery products n.e.c."
"SRI REVANASIDDESHWARA ENTERPRISES","KARNATAKA","BENGALURU (URBAN)","560056","17/04/2021","35/2, SHOP NO 3, MALATHAHALLI, 35/2, 2, BANGALORE","11043","Manufacture of mineral water"
"ANJANEYA TRADERS","KARNATAKA","DAVANGERE","577001","17/04/2021","712, VASANTHA ROAD, DAVANGERE, 712, DAVANGERE, DAVANGERE","10799","Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
"KAVITHA T","KARNATAKA","BENGALURU (URBAN)","560091","21/04/2021","NO. 311, SRIGANDHA KAVAL, BANGALORE NORTH TALUK, NO. 311, YESHAWANTHAPURA HOBLI, BANGALORE","32909","Manufacture of other articles n.e.c."
"M/S VINYAS ADVERTISING","KARNATAKA","BENGALURU (URBAN)","560078","21/04/2021","NO 10, Geetha colony, Kanakapura road, NO 10, J P Nagar, Bangalore","18115","Printing directly onto textiles, flexographic plastic, glass, metal, wood and ceramics"
"SHAKUNTALA NEKAR","KARNATAKA","BELAGAVI","590005","21/04/2021","41/1B, DHAMANE ROAD, VADGAON, 41/1B, NEKAR COLONY, BELAGAVI","13129","Weaving of jute, mesta and other natural fibers including blended natural fibers n.e.c."
"CHANDINI COFFEE CURERS AND TRADERS","KARNATAKA","CHIKKAMAGALURU","577101.0","02/12/2020","1, CHANDINI COFFEE CURERS, HOSAHALLI PET, 1, ., CHIKMAGALUR","10792","Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products"
"UJWALA ENTERPRISES","KARNATAKA","YADGIR","585215.0","02/12/2020","9/70/1, SUGURESHWARA NIVASA, HPS SCHOOL NEAR, 9/70/1, BHAGEERTHA GALI MAIN ROAD, HUNASAGI","32909","Manufacture of other articles n.e.c."
"SAVINUDI SHINDI BUTTI KASABARIGE TAYARIKA GHATAKA","KARNATAKA","BAGALKOT","587315.0","29/08/2020","Ward no 5, Ambedkar Nagar, Halingali, Ward no 5, Near Nuliya Chandayya Circle, Halingali","16221","Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof trusses, doors, windows, shutters and their frames, whether or not containing metal fittings, stairs, railings, wooden beadings and mouldings, shingles and shakes etc.]"
"Verna's Organic Park","KARNATAKA","DHARWAD","580003.0","29/08/2020","#95 1st main, Radhakrishna nagar, Radhakrishna nagar, #95 1st main, 1st main, Dharwad","10795","Grinding and processing of spices"
"M.Krishnappa Enterprises","KARNATAKA","BENGALURU (URBAN)","560049.0","29/08/2020","No, 848, Near James School, Avalahalli, No, Virgonagar post, Bangalore","33112","Repair and maintenance of pipes and pipelines"
"SRI MANJUNATHA ENTERPRISES","KARNATAKA","BENGALURU (URBAN)","560083.0","29/08/2020","63/5, VADDARAPALYA, GOTTIGERE POST, 63/5, 8TH PHASE, BENGALURU","22203","Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc)"
"DURGA INDUSTRIES","KARNATAKA","BENGALURU (URBAN)","560068.0","31/05/2021","NO 16/59/8D, -, NEAR ANNAPURNESHWARI TEMPLE, NO 16/59/8D, -, BANGALORE","25999","Manufacture of other fabricated metal products n.e.c."
"AP POWER ELECTRONICS","KARNATAKA","BENGALURU (URBAN)","560073.0","02/06/2021","GROUND FLOOR No 15, 1st Cross Siddeshwara Layout, Sidedahalli, GROUND FLOOR No 15, NAGASANDRA POST, Bangalore","26409","Manufacture of other electronic consumer goods n.e.c. (this includes non- television video camera)"
"ROOPA ENTERPRISES","KARNATAKA","BELAGAVI","591127.0","01/09/2020","HOSPETH ONI, ROOPA ENTERPRISES, TQ RAMDURG, HOSPETH ONI, SUREBAN, BELAGAVI","13131","Finishing of cotton and blended cotton textiles."
"G B Boutique","KARNATAKA","BENGALURU (URBAN)","560003.0","24/02/2021","10/1, GANESH COMPLEX, 8TH CROSS, 10/1, BANGALORE, BANGALORE","13999","Manufacture of other textiles/textile products n.e.c."
"M/S INDUS SCIENTIFIC PRIVATE ED","KARNATAKA","BENGALURU (URBAN)","560043.0","04/12/2020","11/2B, Indus Scientific, Hennur Main Road, 11/2B, Hennur Bande, Bengaluru","28299","Manufacture of other special-purpose machinery n.e.c."
"JAI BINDING WORKS","KARNATAKA","BENGALURU (URBAN)","560023.0","11/08/2021","No 10 1st cross, CHOULARAPALYA, Behind Ganesha temple, No 10 1st cross, BANGALORE, BANGALORE","32901","Manufacture of stationary articles such as pens and pencils of all kinds whether or not mechanical, pencil leads, date, sealing or numbering stamps, hand-operated devices for printing or embossing labels, hand printing sets, prepared typewriter ribbons and inked pads, globes etc."
"M/S UNITED MARINE PRODUCTS","KARNATAKA","DAKSHIN KANNAD","575020.0","02/06/2021","DOOR NO. 1-1/20, UNITED MARINE PRODUCTS (HEAD OFFICE), SEA ROAD, DOOR NO. 1-1/20, KOTEPURA, MANGALURU","10207","Production of fishmeal for human consumption or animal feed"
"M/S KANASU INDUSTRIES PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560086.0","02/06/2021","1376, 2nd floor, WOC road, 1376, 2nd stage Mahalakshimipuram, BANGALORE","33200","Installation of industrial machinery and equipment"
"GIRI ENGINEERING WORKS","KARNATAKA","BENGALURU (URBAN)","560096.0","13/07/2021","343 NEW NO 10, NANDINILAYOUT, SARASWATHIPURAM, 343 NEW NO 10, 0, BANGALORE","25910","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"RIDDHI SIDDHI FASHION","KARNATAKA","CHITRADURGA","577501.0","13/07/2021","RIDDHI SIDDHI FASHIO, RSF PALZA, LAXMI BAZAR, RIDDHI SIDDHI FASHIO, CHITRADURGA, CHITRADURGA","14109","Manufacture of wearing apparel n.e.c."
"Viji Products","KARNATAKA","BENGALURU (URBAN)","560038","13/04/2021","5/5, Ather Villa, Indiranagar, 5/5, HAL 2nd Stage, Bangalore","10795","Grinding and processing of spices"
"S K ENTERPRISES","KARNATAKA","MYSURU","570021.0","28/01/2021","NO 2720, B N STREET, MYSURU, NO 2720, MANDI MOHALLA, MYSURU","25119","Manufacture of other structural metal products"
"M/S GURUDEV PLYWOOD INDUSTRIES","KARNATAKA","HASSAN","573201.0","17/07/2021","PLOT NO 356, GURUDEV PLYWOOD INDUSTRIES, HOLENARASIPURA ROAD, PLOT NO 356, KIADB INDUSTRIAL GROWTH CENTRE, HASSAN","16211","Manufacture of ply wood and veneer sheets"
"PRANITH TEXTILES","KARNATAKA","BENGALURU (URBAN)","560079.0","08/09/2021","NO.65/2, BEHIND RAMAMNDIRA ROAD, KAMAKSHIPALAYA, NO.65/2, -, BANGALORE","20304","Manufacture of synthetic or artificial mono-filament or strip"
"shri krishna","KARNATAKA","DAKSHIN KANNAD","574239.0","02/07/2021","MURUR, MURUR, MURUR, MURUR, SULLIA, SULLIA","10509","Manufacture of other dairy products n.e.c."
"MECHTRONIX","KARNATAKA","BENGALURU (URBAN)","560062.0","02/07/2021","NO 47, MECHTRONIX, 8TH MAIN ROAD, NO 47, J C INDUSTRIAL ESTATE, BANGALORE","28299","Manufacture of other special-purpose machinery n.e.c."
"AFZAL PATHAN","KARNATAKA","BELAGAVI","590010.0","02/07/2021","H NO CC B 17, 7TH CROSS AZAM NAGAR, 7TH CROSS AZAM NAGAR, H NO CC B 17, ., BELGAUM","10309","Preservation of fruit and vegetables n.e.c."
"Seetharamaya Textiles","KARNATAKA","TUMAKURU","572139.0","02/07/2021","1, Seetharamaya Textiles, Temple road, 1, Gowdagere Hobli, Sira","13999","Manufacture of other textiles/textile products n.e.c."
"SHRI RENUKA SAVAJI BIRYANI HOUSE","KARNATAKA","DHARWAD","580028.0","25/03/2021","6TH CROSS, KAMARI PETH, MAIN ROAD, 6TH CROSS, B, HUBLI","10794","Manufacture of malted foods including foods for infants and handicapped"
"M/S OORJA UDYOG ENTERPRISES","KARNATAKA","BENGALURU (URBAN)","560058.0","25/03/2021","42/1, OORJA UDYOG ENTERPRISES, KARIVOBANAHALLI, 42/1, PEENYA, PEENYA 2ND STAGE","27103","Manufacture of electric motors (except internal combustion engine starting motors)"
"JOTIBA SATERI SHINGE","KARNATAKA","BELAGAVI","590014.0","09/09/2021","# 273, ., MAJUKAR GALLI , DESUR, # 273, ., BELAGUM","23921","Manufacture of bricks"
"SAHANA PAPER PLATES AND CUPS","KARNATAKA","KOLAR","563101.0","16/10/2020","12, P, KOLAR, 12, KALIPURA, KOLAR","17092","Manufacture of paper cups, saucers, plates, hoops, cones and other similar products"
"UMME EXPORTS","KARNATAKA","HASSAN","573201.0","16/10/2020","PR NO C60625, BEHIND INDIAN BANK, AVK COLLEGE ROAD, PR NO C60625, 1, HASSAN","10309","Preservation of fruit and vegetables n.e.c."
"RUKSANA IMAMSAB JAFAR KUBASADA","KARNATAKA","UTTAR KANNAD","581412.0","16/10/2020","ALKERI, ALKERI, ALKERI, ALKERI, MADNUR, YELLAPUR","14105","Custom tailoring"
"FORKLIFT SOLUTIONS","KARNATAKA","BENGALURU (URBAN)","560019.0","16/10/2020","SHOP NO.1 670, 6TH MAIN ROAD,, 6TH MAIN ROAD, SHOP NO.1 670, BHAVANI NAGAR, BENGALURU","33129","Repair and maintenance of other special purpose machinery of division 28 (weighing equipment, vending machines, cash registers, photocopy machines, calculators, typewriters etc.)"
"RAMKRISHNA INDUSTRIES","KARNATAKA","BAGALKOT","587103.0","16/10/2020","PLOT NO: 170, AGRO TECH PARK, NAVANAGAR, PLOT NO: 170, BAGALKOT, BAGALKOT","10619","Other grain milling and processing n.e.c."
"RAMARAJ AUTO","KARNATAKA","BELAGAVI","590014.0","16/10/2020",",, ,, KINIYE, ,, ,, BELGAUM","29109","Manufacture of motor vehicles n.e.c"
"M/S KEDIA GRANITES","KARNATAKA","BENGALURU (URBAN)","560078.0","12/01/2021","#34/58, A-2, RAMS VILLA APPARTMENT, 1st Main, #34/58, A-2, JPNAGAR 1st PHASE, Bengaluru","23960","Cutting, shaping and finishing of stone"
"M/S GENETRIXNATURA ECO PRODUCTS PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560091.0","04/02/2021","#14, Mahadeshwaranag, Genetrix Natura Eco Products Pvt Ltd, Near Max E Techno School, #14, Mahadeshwaranag, Peenya 2nd Stage, BENGALURU","32909","Manufacture of other articles n.e.c."
"WORK SHOOP","KARNATAKA","BENGALURU (URBAN)","560023.0","23/07/2020","7/58, SUVARNA, MINERVA MILL, 7/58, BEHIND, BANGALORE","25113","Manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment etc.)"
"SOMASHEKARAPPA","KARNATAKA","SHIVAMOGGA","577428.0","23/07/2020","01, BELAVANTANAKOPPA, SHIRALAKOPPA, 01, SHIRALAKOPPA, SHIKARIPURA","16101","Sawing and planing of wood"
"NEHA WOOD FURNITURES","KARNATAKA","UTTAR KANNAD","581329.0","23/07/2020","INDUSTRIAL ESTATE, NEHA WOODEN FURNITURE, INDUSTRIAL AREA, INDUSTRIAL ESTATE, HALIYAL, HALIYAL","31001","Manufacture of furniture made of wood"
"KOPPARAM JEWELS","KARNATAKA","BENGALURU (URBAN)","560002.0","23/07/2020","17/3, RJS  SREE PURADHARA BHAVAN, DHARMARAYA SWAMY TEMPLE STREET, 17/3, GROUND FLOOR, BANGALORE","32111","Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials"
"AYAN TRADERS","KARNATAKA","BALLARI","583101.0","23/07/2020","W NO 19 DOOR NO 179, HUSSAIN NAGAR 3RD CROSS, BALLARI, W NO 19 DOOR NO 179, NEAR MAJID, BALLARI","14105","Custom tailoring"
"GURU CYCLES","KARNATAKA","BENGALURU (URBAN)","560079.0","23/07/2021","NO.1, MODEL HBCS LAYOUT, BASAVESHWARA NAGAR, NO.1, NEAR WATER TANK,, BENGALURU","30921","Manufacture of non-motorized bicycles and other cycles, including cycle-rickshaws, (delivery) tricycles, tandems, children’s bicycles and tricycles, baby carriages"
"Chandramma Enterprise","KARNATAKA","DAVANGERE","577530.0","04/05/2021","#414, Halivana Harihara Talluq, Halivana Harihara Talluq, #414, #414, Halivana","13122","Weaving, manufacture of silk and silk mixture fabrics."
"Sai's dream collections","KARNATAKA","BENGALURU (URBAN)","560086.0","03/11/2020","600A,2nd cross, Mahalakshmi, Mahalakshmi layout, 600A,2nd cross, 2nd block, Bangalore","13999","Manufacture of other textiles/textile products n.e.c."
"NAGRAJU MURALI","KARNATAKA","BENGALURU (URBAN)","560027.0","04/02/2021","NO 54, 4 TH CROSS,, MURULI, HALLI, OPP WILSON GARDEN ,, NO 54, 4 TH CROSS,, BBMP WARD NO-61,AREKEMPANNA, BANGALORE","25999","Manufacture of other fabricated metal products n.e.c."
"SLV ENGINEERING WORKS","KARNATAKA","BENGALURU (RURAL)","562114.0","23/07/2021","1, SLV BUILDING, MARKET ROAD, 1, 1, HOSAKOTE","33200","Installation of industrial machinery and equipment"
"M/S RENOWNED FOODS","KARNATAKA","BENGALURU (URBAN)","560046.0","23/07/2021","No.5, Basement Floor, 4th Main, No.5, SK Garden, Bangalore","10711","Manufacture of bread"
"SHILPA BG","KARNATAKA","HASSAN","573102.0","23/07/2021","3rd block, Nagashree, Straat, 3rd block, 3rd block, Arakalgud","15115","Finishing of upper leather, lining leather and garment leather etc."
"M/S SHAMANTH PRODUCTS PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560001.0","24/07/2020","NO.39,, GROUND FLOOR, LAKSHMAN MUDALIAYAR STREET, NO.39,, SHIVAJI NAGAR, BANGALORE","10797","Manufacture of vitaminised high protein flour, frying of dal and other cereals"
"ROHINI PRINTING SOLUTIONS","KARNATAKA","BENGALURU (URBAN)","560037.0","24/07/2020","SHOP NO. 2 AND 3, GROUND FLOOR, SGR DENTAL COLLEGE ROAD, SHOP NO. 2 AND 3, NEAR RAILWAY GATE, BENGALURU","18119","Other printing activities like screen printing other than textile n.e.c."
"S V TECH","KARNATAKA","BENGALURU (RURAL)","560099.0","24/07/2020","SITE NO 171/374/28, KACHANAYAKANAHALLI, INDUSTRIAL AREA, SITE NO 171/374/28, 28, BANGALORE","25910","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"DASA MICRON TOOLS","KARNATAKA","BENGALURU (URBAN)","560099.0","05/05/2021","C-39, 1ST PHASE, KSSIDC IND AREA, C-39, -, BANGALORE","32909","Manufacture of other articles n.e.c."
"TRANSTEEL SEATING TECHNOLOGIES LTD","KARNATAKA","BENGALURU (URBAN)","560047.0","05/05/2021","NO.47, LINDEN STREET, AUSTIN TOWN, NO.47, AUSTIN, BANGALORE","31009","Manufacture of other furniture n.e.c."
"AQUA   PURE   SOLUTIONS","KARNATAKA","BENGALURU (URBAN)","560056.0","23/09/2021","SHIVA KUMAR, #  132     , 7TH    MAIN, MALLATHAHALLI, SHIVA KUMAR, RAILWAY MAIN ,   BHAVANI NAGAR, BANGALORE","28195","Manufacture of filtering and purifying machinery or apparatus for liquids and gases"
"KARTHIK ENGINEERING ENTERPRISES","KARNATAKA","BENGALURU (URBAN)","560068.0","16/07/2021","No. 34, ., 1st Cross , Begur Main Road, No. 34, MSR Layout, Bengaluru","28170","Manufacture of office machinery and equipment"
"AARUSH ENTERPRISES","KARNATAKA","DHARWAD","580025.0","16/07/2021","D28 9th Cross, AARUSH ENTERPRISES, Gamanagatti Road, D28 9th Cross, Gamanagatti, hubli","13121","Weaving, manufacture of cotton and cotton mixture fabrics."
"Pushpa Rice Mills and Driers","KARNATAKA","SHIVAMOGGA","577216.0","16/07/2021","01, Pushpa Rice Mills and Driers, HONNALI ROAD, 01, ., SHIMOGA","10612","Rice milling"
"Ranagnathaswmay Hittina girani","KARNATAKA","DAVANGERE","577566.0","16/07/2021","55, Ranagnathaswmay Hittina girani, mayakonda road, 55, a, nerligi","10802","Manufacture of poultry feed"
"SHRI MANJUNATHA BEKARY","KARNATAKA","CHIKKAMAGALURU","577135.0","16/07/2021","NO 01, MOHUDDINN KASHIM BUILDING, SAKHARAYAPATNA, NO 01, OPP KSRTC BUS STAND, KADUR TQ","10719","Manufacture of other bakery products n.e.c."
"M/S POLYTEC PACKINS INDIA PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560074.0","27/01/2021","BUILDING &#39;A&#39;, KIADB INDL. AREA - PHASE I,, MYSORE ROAD, BUILDING &#39;A&#39;, PHASE I, BENGALURU","22203","Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc)"
"M/S FRONTFOOT SPORTS MANAGEMENT PRIVATE LIMITED","KARNATAKA","BENGALURU (RURAL)","560062.0","03/09/2020","No - 1183, SY.No.50/2A/50/2/A-2, 1st Main Road, Kuvempu Nagar,, No - 1183, -, Bangalore","32909","Manufacture of other articles n.e.c."
"BHAGYA","KARNATAKA","DAKSHIN KANNAD","575015.0","03/09/2020","1-286-1A, DEVINAGAR, DEVINAGAR, 1-286-1A, MANGALORE, MANGALORE","10306","Manufacture of pickles, chutney etc."
"food manufacturing enterprises","KARNATAKA","KALABURAGI","585228.0","03/09/2020","E7/260, S/O VIJAYKUMAR, BHANKUR MAIN ROAD, E7/260, SHANTHNAGAR, SHAHABAD","10796","Manufacture of papads, appalam and similar food products"
"sangam enterprises","KARNATAKA","VIJAYAPURA","586102.0","03/09/2020","18 ganesh nagar main, mallikarjun nilaya, mainroad, 18 ganesh nagar main, 1st main road, bijapur","13131","Finishing of cotton and blended cotton textiles."
"VINAYAKA WOODEN FURNITURE WORKS","KARNATAKA","SHIVAMOGGA","577211.0","22/02/2021","., VINAYAKA WOODEN FURNITURE WORKS, HARNAHALLI ROAD, ., DURGAMMANA BEEDI, SHIMOGA","31001","Manufacture of furniture made of wood"
"JAGADAMBA IDLI CENTRE","KARNATAKA","GADAG","582101.0","01/12/2020","JAGADAMBA IDLI CENTR, NEAR PANCHA HONDA, GADAG, JAGADAMBA IDLI CENTR, GADAG, GADAG","10402","Manufacture of vegetable oils and fats excluding corn oil"
"M/S NIRMALA TAILORING AND READYMADE GARMENTS","KARNATAKA","VIJAYAPURA","586112.0","01/12/2020","SY NO 16, M/S NIRMALA TAILORING AND READYMADE GARMENTS, TQ VIJAYAPUR, SY NO 16, NAGATHAN, VIJAYAPUR","14105","Custom tailoring"
"H Prakash","KARNATAKA","DAVANGERE","577005.0","01/12/2020","G003, Aprant, Vidyanagara, G003, 16th cross, Davanagere","10407","Manufacture of non-defatted flour or meals of oilseeds, oilnuts or kernels"
"SHANTARAM GURAV BRICKS MAKERS","KARNATAKA","BELAGAVI","591302.0","29/08/2020","15, JAINKOP, PARISHWAD ROAD, 15, 1, KHANAPUR","23921","Manufacture of bricks"
"M/S CHOWDESHWARI MINI GARMENTS","KARNATAKA","TUMAKURU","572123.0","29/08/2020","Hosapete, Huliyurdurga, Hosapete, Hosapete, Hosapete, Kunigal","13121","Weaving, manufacture of cotton and cotton mixture fabrics."
"SRI SRINIVASA IYENGAR BAKERY & SWEET","KARNATAKA","BENGALURU (URBAN)","560029.0","29/08/2020","No.60/03, S/o,Thammanna Gowda, BG Road, No.60/03, BTM 1st Stage, Bangalore","10712","Manufacture of biscuits, cakes, pastries, rusks etc."
"M/S. S. B. ENGINEERING","KARNATAKA","BELAGAVI","590008.0","12/07/2021","PLOT NO 77, NEAR VIKRANT FOUNDRY, UDYAMBAG, PLOT NO 77, ., BELGAUM","28221","Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc."
"MRUDHULA ENTERPRISE","KARNATAKA","SHIVAMOGGA","577301.0","12/07/2021","74/A, JAYANAGARA, GADDE MANE, 74/A, JAYANAGARA, BHADRAVATHI","16296","Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf; articles of vegetables fibre etc,."
"VIJAY KUMAR H V","KARNATAKA","BENGALURU (URBAN)","560108.0","21/01/2021","NO 35, honnapa building, ragavanaphalya, NO 35, ground floor, bangalore","20221","Manufacture of paints and varnishes, enamels or lacquers"
"AAROGYA FOOD PRODUCTS","KARNATAKA","DAKSHIN KANNAD","574222.0","21/01/2021","1-139, KADAMBILA, VEERAKAMBA, 1-139, KADAMBILA, BANTWAL","10712","Manufacture of biscuits, cakes, pastries, rusks etc."
"SREE MALLIKARJUNA ENTERPRISES","KARNATAKA","KOPPAL","583268.0","05/12/2020","292, SREE Mallikarjuna Krupa, Acharnarasapur,Smal Small tank, 292, Ward 2, Gangavathi 583268","17029","Manufacture of other containers of paper and paperboard n.e.c."
"MARUTHI ENTERPRISES","KARNATAKA","BENGALURU (RURAL)","562107.0","05/12/2020","NO 1, ANAND REDDY BUILDING,FIRST FLOOR, SARJAPURA MAIN ROAD, NO 1, OPP TO KARUR VYSYA BANK, BANGALORE","23952","Manufacture of articles articles of concrete, cement or artificial stone (tiles, bricks etc.)"
"SQUADRON GRAPHICS INDIA PRIVATE LIMITED","KARNATAKA","BENGALURU (URBAN)","560078.0","05/12/2020","OFFICE ADRESS:NO. 20, -, KANAKAPURA MAIN ROAD, OFFICE ADRESS:NO. 20, VIVEKANANDA COLONY, BANGALORE","32909","Manufacture of other articles n.e.c."
"M/S INDUSTRIES LAXMI PACKAGING","KARNATAKA","BENGALURU (URBAN)","560091.0","01/07/2021","NO. 10, 10TH CROSS,, BANGALORE NORTH, NO. 10, PEENYA II STAGE, BANGALORE","22203","Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc)"
"SKP SLOID BRICKS","KARNATAKA","BENGALURU (RURAL)","562110.0","09/09/2021","SY NO 16/8, HOSAHUDYA VILLAGE, BANGALORE RURAL DIST, SY NO 16/8, DEVANAHALLI TALUK, BANGALORE","23952","Manufacture of articles articles of concrete, cement or artificial stone (tiles, bricks etc.)"
"Narayan Sankappa Hegade","KARNATAKA","BELAGAVI","591123.0","02/12/2020","#96, NINGAPUR PETH RAMDURG, NINGAPUR PETH RAMDURG, #96, RAMDURG, RAMDURG","13121","Weaving, manufacture of cotton and cotton mixture fabrics."
"VASTRA DATHA PRINTERS AND PUBLISHERS","KARNATAKA","BENGALURU (URBAN)","560073.0","31/08/2020","NO.4,, 2ND FLOOR, 8TH MAIL CIRCLE, VIDYANAGARA, T.DASARAHALLI, NO.4,, ANDANAPPA BUILDING,, BANGALORE","18111","Printing of newspapers"
"SANIYA LADIES TAILOR","KARNATAKA","BELAGAVI","591237.0","31/08/2020","4302, -, SHIVAJI NAGAR ,1ST LANE, 4302, -, NIPANI","14105","Custom tailoring"
